,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_10,10,10,0.9,0.0,0.7971666666666666,0.08944271909999157,0.0,0.04724522315653835
10_25,10,25,1.0,0.0,0.7624000000000001,0.0,0.0,0.00741889479639657
10_50,10,50,1.0,0.0,0.7660000000000003,0.0,0.0,0.013914021704740894
10_100,10,100,1.0,0.0,0.7576000000000005,0.0,0.0,0.005885575587824905
25_10,25,10,0.952,0.0,0.7887030303030302,0.03919183588453084,0.0,0.016163815317549072
25_25,25,25,0.992,0.0,0.7728933333333335,0.016000000000000014,0.0,0.01107321894382016
25_50,25,50,1.0,0.0,0.7812800000000004,0.0,0.0,0.012054277249175887
25_100,25,100,1.0,0.0,0.7723200000000005,0.0,0.0,0.00628089165644492
50_10,50,10,0.9719999999999999,0.0,0.7737856419163409,0.02039607805437116,0.0,0.015278688107932243
50_25,50,25,0.9879999999999999,0.0,0.7788702040816327,0.009797958971132722,0.0,0.008711555238238938
50_50,50,50,1.0,0.0,0.7801600000000004,0.0,0.0,0.005973809504830219
50_100,50,100,1.0,0.0,0.7810800000000004,0.0,0.0,0.0009846826900073214
100_10,100,10,0.938,0.0,0.786798952804852,0.030594117081556696,0.0,0.006831493194795808
100_25,100,25,0.986,0.0,0.7831752594321079,0.01019803902718558,0.0,0.007545610360506296
100_50,100,50,1.0,0.0,0.7796800000000004,0.0,0.0,0.004650333321386812
100_100,100,100,1.0,0.0,0.7806600000000006,0.0,0.0,0.003938832314277936
