,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_10,10,10,0.8800000000000001,0.0,0.723079365079365,0.09797958971132716,0.0,0.029351193628152982
10_25,10,25,0.96,0.0,0.6676444444444444,0.04898979485566355,0.0,0.042618862108313144
10_50,10,50,0.96,0.0,0.6557333333333336,0.04898979485566354,0.0,0.02038319327046757
10_100,10,100,0.96,0.0,0.6517777777777781,0.04898979485566354,0.0,0.011095099574492413
25_10,25,10,0.8639999999999999,0.0,0.7172424242424242,0.05986651818838303,0.0,0.018638309826933725
25_25,25,25,0.9199999999999999,0.0,0.7069828722002636,0.03577708763999662,0.0,0.01965203894508007
25_50,25,50,0.992,0.0,0.7022066666666669,0.016000000000000014,0.0,0.011898690871034701
25_100,25,100,1.0,0.0,0.6960800000000005,0.0,0.0,0.014192730533621755
50_10,50,10,0.8800000000000001,0.0,0.7106048584722077,0.04898979485566354,0.0,0.011738361447489255
50_25,50,25,0.932,0.0,0.701958920512112,0.037094473981982796,0.0,0.007034496283151143
50_50,50,50,0.976,0.0,0.7062466666666669,0.01959591794226544,0.0,0.006175735673675744
50_100,50,100,0.9960000000000001,0.0,0.6981395918367351,0.008000000000000007,0.0,0.005421520294072723
100_10,100,10,0.852,0.0,0.7110046657116961,0.04955804677345548,0.0,0.0115487186940942
100_25,100,25,0.9339999999999999,0.0,0.7016547821165817,0.007999999999999964,0.0,0.00697445338757157
100_50,100,50,0.976,0.0,0.6981866190367698,0.018547236990991426,0.0,0.002709532790066723
100_100,100,100,0.984,0.0,0.6941939059435087,0.01019803902718558,0.0,0.0022442436978539495
