SERVICES_SDS,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_*,0.91,0.0,0.6897722222222223,0.08807320566347429,0.0,0.02491955660295694
25_*,0.93,0.0,0.699428788035636,0.03698556233275026,0.0,0.011814505818782822
50_*,0.9510000000000001,0.0,0.7006491191383908,0.023071175638108146,0.0,0.010670542615521666
100_*,0.944,0.0,0.7031248098838137,0.02579696132850264,0.0,0.007866583203511886
*_10,0.8565,0.0,0.710039365735288,0.08431690571376725,0.0,0.024514343393363083
*_25,0.925,0.0,0.7016113515856557,0.03517627991273818,0.0,0.01352390926718855
*_50,0.9765,0.0,0.6921288257575761,0.03137788193609014,0.0,0.009433528193464474
*_100,0.977,0.0,0.6891953962015431,0.023055837400239747,0.0,0.007799407386757209
