,SERVICES,SERVICE_DATA,MIN_ALL,MIN_ANALYSIS,MIN_PLANNING,MIN_EXECUTION,MAX_ALL,MAX_ANALYSIS,MAX_PLANNING,MAX_EXECUTION,AVG_ALL,AVG_ANALYSIS,AVG_PLANNING,AVG_EXECUTION,STD_ALL,STD_ANALYSIS,STD_PLANNING,STD_EXECUTION
G2.3.1,50,50,5.208398215472698e-05,0.011417791014537215,0.043108750018291175,0.02222141600213945,5.416700150817633e-05,0.01284312503412366,0.04432774998713285,0.024478000006638467,5.2558595780283215e-05,0.011604476321239914,0.043703277084126094,0.02258836106241991,9.002561552587587e-07,0.0002868497290920791,0.0003721056815207428,0.00046344154131382654
G2.3.2,50,50,5.0333968829363585e-05,0.011056374991312623,0.04157879197737202,0.020535457995720208,5.308300023898482e-05,0.01151220896281302,0.04561700002523139,0.022533082985319197,5.099178524687886e-05,0.011205036034205865,0.042181223316583784,0.02093715050937228,1.1739583908124055e-06,0.00010412052219611479,0.000800643450604021,0.00029206842412108475
G2.3.3,50,50,5.212501855567098e-05,0.011618415999691933,0.04361816600430757,0.02154416701523587,5.4540985729545355e-05,0.014716416015289724,0.04526745801558718,0.024032375018578023,5.2758201491087675e-05,0.011848663255371976,0.044270101433579366,0.02201788574382861,1.0029077047299359e-06,0.00038727643311336753,0.0004248799250391453,0.0004656198430736415
G4.2.1,50,50,5.304202204570174e-05,0.012500125041697174,0.0474029160104692,0.024416874977760017,5.483400309458375e-05,0.01389595796354115,0.04873066698201001,0.026922290970105678,5.340486365769591e-05,0.012664556759409607,0.04793523482195186,0.024763726586725834,6.37513504409286e-07,0.0002710541908726641,0.000484388549297055,0.0005216588254882752
G4.2.2,50,50,5.3957977797836065e-05,0.01260400004684925,0.04736954200780019,0.023526832985226065,5.633296677842736e-05,0.015519624983426183,0.05123058398021385,0.025158916949294508,5.4491579066962e-05,0.012870069226482882,0.04775460800473494,0.02380380523391068,1.031216570007448e-06,0.0003093996290468002,0.0008648626719382777,0.0004330210829044986
G4.2.3,50,50,5.366600817069411e-05,0.012562958989292383,0.04724145802902058,0.02430820802692324,5.500001134350896e-05,0.01320833299541846,0.049355957948137075,0.057812459010165185,5.404981784522534e-05,0.01271787075741405,0.047913247894030064,0.025388452319553258,5.555517491916417e-07,0.0001390577182964966,0.0005293733977882243,0.005230685349174541
G2.3.1,50,100,5.0666043534874916e-05,0.022030666994396597,0.08255587500752881,0.04083537502447143,5.5334006901830435e-05,0.023504459008108824,0.08842504204949364,0.042314124992117286,5.206660134717822e-05,0.02237849259852535,0.08422814575412,0.04142035499215126,2.0429994402160923e-06,0.0002758942631237048,0.001488124634520374,0.00031204698334382923
G2.3.2,50,100,5.216698627918959e-05,0.023220542003400624,0.08719220798229799,0.04288704099599272,5.425000563263893e-05,0.02371933398535475,0.09169074997771531,0.044177208037581295,5.261680344119668e-05,0.023381375829515934,0.08816920491032458,0.043462935704155825,9.14412921112598e-07,0.00012949441609771514,0.001180518280083023,0.00023149809830907026
G2.3.3,50,100,5.408399738371372e-05,0.024065874982625246,0.09063591703306884,0.04670033301226795,6.283301627263427e-05,0.026203707966487855,0.09150612499797717,0.04786412505200133,5.589179927483201e-05,0.024319395859492943,0.09092024299510133,0.04680759864012626,3.880633855225407e-06,0.0004198839955538837,0.00025926057321631353,0.00026783469987941397
G4.2.1,50,100,5.425000563263893e-05,0.024967458040919155,0.0938607919961214,0.04639204201521352,5.620799493044615e-05,0.025587375042960048,0.09996066702296957,0.04642770905047655,5.4675003048032524e-05,0.025028960361917752,0.0945011930942366,0.04640883536988192,8.584859079435696e-07,0.00010986549220255654,0.0018128518206393855,1.1335393000297311e-05
G4.2.2,50,100,5.400000372901559e-05,0.025028000003658235,0.0940528329811059,0.048422500025480986,5.500001134350896e-05,0.02770004200283438,0.09525454201502725,0.05382324999663979,5.425841081887484e-05,0.02515230834687827,0.0942452499981631,0.04884305962228349,4.1808205774769175e-07,0.0004711319873611271,0.0003474804785399922,0.0011595240296999017
G4.2.3,50,100,5.433295154944062e-05,0.02498608303721994,0.09413720900192857,0.048362292000092566,5.641602911055088e-05,0.027324833965394646,0.09784933301853016,0.05155758396722376,5.480799591168761e-05,0.025154736368858722,0.09467384491687302,0.048878103239639176,9.077660296248873e-07,0.0005059136575243575,0.0010664080983897382,0.0008973607757410235
G2.3.1,100,10,0.00017333397408947349,0.008786124992184341,0.03418033302295953,0.017691290995571762,0.00017562502762302756,0.009288209024816751,0.03730354196159169,0.01927837502444163,0.0001739002065733075,0.008878464167202381,0.0351795373817681,0.017964546201775584,9.728829162486163e-07,4.205553625261026e-05,0.0005589740970434466,0.0002044882819101156
G2.3.2,100,10,0.00012516701826825738,0.006305542017798871,0.024494624987710267,0.012095250014681369,0.0001295410329475999,0.007274749979842454,0.06120054196799174,0.039047707978170365,0.0001261082128621638,0.006451755031892576,0.026556859811535105,0.012725997481201947,1.9205852623111436e-06,0.00012679414163924266,0.007744655318808874,0.0029767593922292493
G2.3.3,100,10,0.00016150000737980008,0.008397458004765213,0.03281929198419675,0.016266833001282066,0.00016562500968575478,0.008470125030726194,0.03544341697124764,0.016826750012114644,0.00016261680284515023,0.008443165962298658,0.033081159966381925,0.016383971344320805,1.7112311523816541e-06,1.7065568987914337e-05,0.000494569782086487,9.435413971976442e-05
