SERVICES_SDS,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_*,0.9,1.0,0.8117037037037037,0.2,0.0,0.10890725181467105
25_*,0.9716666666666667,1.0,0.8897982229123533,0.05666666666666666,0.0,0.033261302596599596
50_*,0.929004329004329,1.0,0.9461317570107637,0.07078153748674218,0.0,0.01796681552401269
100_*,0.9932427536231885,1.0,0.9641088151915833,0.009914190173798094,0.0,0.01325455238198854
*_10,0.8685876623376624,1.0,0.9433143709277446,0.1916148708200755,0.0,0.04883928017858589
*_25,0.9353260869565218,1.0,0.9204394886726424,0.12574752350713142,0.0,0.050694628390067636
*_50,0.99,1.0,0.8803380521471307,0.019999999999999997,0.0,0.03513625317469919
*_100,1.0,1.0,0.8676505870708865,0.0,0.0,0.03871976057391916
