,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_10,10,10,0.76,0.0,0.6528095238095238,0.14966629547095767,0.0,0.0751893821272743
10_25,10,25,0.9200000000000002,0.0,0.6810666666666666,0.039999999999999994,0.0,0.011917742764156029
10_50,10,50,1.0,0.0,0.6672000000000003,0.0,0.0,0.029191779664830282
10_100,10,100,0.9400000000000001,0.0,0.6479428571428574,0.12000000000000002,0.0,0.024883992067682624
25_10,25,10,0.9359999999999999,0.0,0.7032333333333334,0.054258639865002144,0.0,0.022843331144510877
25_25,25,25,0.952,0.0,0.7163321212121213,0.039191835884530846,0.0,0.0320181641285034
25_50,25,50,0.984,0.0,0.6978733333333337,0.01959591794226544,0.0,0.003645661043548154
25_100,25,100,0.968,0.0,0.6861652173913046,0.029933259094191523,0.0,0.003787297443846562
50_10,50,10,0.9,0.0,0.7009502321350147,0.04,0.0,0.022757136981801623
50_25,50,25,0.9400000000000001,0.0,0.7045418915695116,0.03794733192202054,0.0,0.013024508128679963
50_50,50,50,0.9719999999999999,0.0,0.7011530612244901,0.009797958971132722,0.0,0.0032563324468197516
50_100,50,100,0.984,0.0,0.6967300000000004,0.01959591794226544,0.0,0.006302575752112114
100_10,100,10,0.8700000000000001,0.0,0.7161316212049014,0.04098780306383839,0.0,0.01868976938863296
100_25,100,25,0.942,0.0,0.7123923676179476,0.021354156504062596,0.0,0.00800874050373407
100_50,100,50,0.9780000000000001,0.0,0.6890717162685135,0.011661903789690611,0.0,0.008212556684403472
100_100,100,100,0.998,0.0,0.6953808080808085,0.0040000000000000036,0.0,0.006019763627180928
