,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_10,10,10,0.9400000000000001,0.0,0.7853333333333332,0.04898979485566355,0.0,0.02295890047696342
10_25,10,25,1.0,0.0,0.7704000000000001,0.0,0.0,0.00932952303175249
10_50,10,50,1.0,0.0,0.7644000000000004,0.0,0.0,0.02129413064672994
10_100,10,100,1.0,0.0,0.7838000000000005,0.0,0.0,0.007833262411026514
25_10,25,10,0.9359999999999999,0.0,0.8047051383399209,0.04079215610874227,0.0,0.028646777441821366
25_25,25,25,0.992,0.0,0.7926933333333335,0.016000000000000014,0.0,0.01409009738945921
25_50,25,50,1.0,0.0,0.7776000000000003,0.0,0.0,0.006881860213634113
25_100,25,100,1.0,0.0,0.7766400000000004,0.0,0.0,0.0082504787739864
50_10,50,10,0.9480000000000001,0.0,0.7831257433593233,0.020396078054371127,0.0,0.009249662834997166
50_25,50,25,0.984,0.0,0.7786798639455783,0.014966629547095779,0.0,0.006385765030174001
50_50,50,50,1.0,0.0,0.7744800000000004,0.0,0.0,0.007989593231197736
50_100,50,100,1.0,0.0,0.7790400000000004,0.0,0.0,0.003922040285361689
100_10,100,10,0.9480000000000001,0.0,0.7900483034001342,0.026381811916545816,0.0,0.008276296518572188
100_25,100,25,0.992,0.0,0.7801640404040405,0.0040000000000000036,0.0,0.003929785619963897
100_50,100,50,1.0,0.0,0.7718000000000005,0.0,0.0,0.005164494166905425
100_100,100,100,1.0,0.0,0.7805800000000004,0.0,0.0,0.003132666595729584
