,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_10,10,10,0.8400000000000001,0.0,0.6743730158730159,0.10198039027185571,0.0,0.04967338776704257
10_25,10,25,0.9,0.0,0.6678666666666666,0.08944271909999157,0.0,0.0302710716324642
10_50,10,50,0.8400000000000001,0.0,0.6539857142857146,0.13564659966250536,0.0,0.0383849566622028
10_100,10,100,0.96,0.0,0.6519111111111113,0.04898979485566355,0.0,0.00899640531779083
25_10,25,10,0.8800000000000001,0.0,0.7058215697346132,0.025298221281347056,0.0,0.031987447565025674
25_25,25,25,0.952,0.0,0.6994933333333334,0.02993325909419151,0.0,0.01426816714426892
25_50,25,50,0.968,0.0,0.6958863768115945,0.029933259094191523,0.0,0.012162360101337883
25_100,25,100,0.976,0.0,0.6948004347826091,0.03199999999999999,0.0,0.012018362793425986
50_10,50,10,0.8799999999999999,0.0,0.7074888119192918,0.03577708763999663,0.0,0.014182556761180227
50_25,50,25,0.9359999999999999,0.0,0.7079330969267139,0.019595917942265402,0.0,0.008411049167019766
50_50,50,50,0.984,0.0,0.6931900680272112,0.014966629547095779,0.0,0.009861904809768264
50_100,50,100,0.992,0.0,0.6877706122448982,0.00979795897113272,0.0,0.0029355610537921176
100_10,100,10,0.892,0.0,0.7096302410592457,0.016000000000000014,0.0,0.017718409596661083
100_25,100,25,0.908,0.0,0.7023453336073467,0.02561249694973139,0.0,0.013659699975814541
100_50,100,50,0.984,0.0,0.6922839689127762,0.01019803902718558,0.0,0.003130166263405187
100_100,100,100,0.994,0.0,0.6932006060606064,0.00489897948556636,0.0,0.0027517457593330633
