,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_10,10,10,0.9200000000000002,0.0,0.6662222222222222,0.039999999999999994,0.0,0.048184829332247034
10_25,10,25,0.9,0.0,0.6939555555555557,0.06324555320336757,0.0,0.03811830835830425
10_50,10,50,1.0,0.0,0.6772000000000002,0.0,0.0,0.009260669522232196
10_100,10,100,1.0,0.0,0.6706000000000005,0.0,0.0,0.017984437717093075
25_10,25,10,0.8720000000000001,0.0,0.7225138339920949,0.039191835884530846,0.0,0.02821626818540568
25_25,25,25,0.9279999999999999,0.0,0.6904943722943724,0.058787753826796275,0.0,0.012303608018094783
25_50,25,50,1.0,0.0,0.6870400000000003,0.0,0.0,0.020285324744750827
25_100,25,100,0.984,0.0,0.690507826086957,0.03199999999999998,0.0,0.0076374752110395195
50_10,50,10,0.8720000000000001,0.0,0.7325900033772375,0.04833218389437826,0.0,0.026759238238702847
50_25,50,25,0.916,0.0,0.7046120333772508,0.026532998322843185,0.0,0.006844816338210865
50_50,50,50,0.976,0.0,0.7021171428571431,0.014966629547095779,0.0,0.00654799187418092
50_100,50,100,1.0,0.0,0.6953600000000003,0.0,0.0,0.004101511916354742
100_10,100,10,0.884,0.0,0.714718874994737,0.025768197453450273,0.0,0.011324896228568273
100_25,100,25,0.93,0.0,0.7026161655008021,0.02366431913239844,0.0,0.012878243523344133
100_50,100,50,0.97,0.0,0.69586813591416,0.006324555320336764,0.0,0.004501129506279535
100_100,100,100,0.992,0.0,0.6943568843069877,0.011661903789690611,0.0,0.004785636620970323
