,SERVICES,SERVICE_DATA,AVG_SUCC_RATE_OUR,AVG_SUCC_RATE_SOA,AVG_SATISFACTION,STD_SUCC_RATE_OUR,STD_SUCC_RATE_SOA,STD_SATISFACTION
10_10,10,10,0.74,0.0,0.6261428571428571,0.19595917942265426,0.0,0.09949807710171472
10_25,10,25,0.6799999999999999,0.0,0.6031333333333333,0.11661903789690603,0.0,0.0398238342927672
10_50,10,50,0.76,0.0,0.5933587301587304,0.20591260281974003,0.0,0.024124290994219873
10_100,10,100,0.7,0.0,0.6042809523809527,0.14142135623730953,0.0,0.014877431202451358
25_10,25,10,0.6400000000000001,0.0,0.6515830819507291,0.06693280212272604,0.0,0.02995514844959409
25_25,25,25,0.5760000000000001,0.0,0.6094696414696414,0.09666436778875656,0.0,0.026355780659751887
25_50,25,50,0.6960000000000001,0.0,0.6033486657821026,0.0741889479639656,0.0,0.015966757735181136
25_100,25,100,0.72,0.0,0.5960138888888892,0.11027239001672175,0.0,0.0038513351174558857
50_10,50,10,0.664,0.0,0.6214103873458712,0.05122499389946279,0.0,0.018128823500900206
50_25,50,25,0.72,0.0,0.6225176691729324,0.0551361950083609,0.0,0.014014916965985117
50_50,50,50,0.7760000000000001,0.0,0.6083701726394507,0.04454211490264018,0.0,0.009646343314860212
50_100,50,100,0.688,0.0,0.5978220203396678,0.04833218389437829,0.0,0.00782754662146182
100_10,100,10,0.666,0.0,0.6330377643811836,0.04029888335921976,0.0,0.017783930661838282
100_25,100,25,0.6859999999999999,0.0,0.6101704776347445,0.021540659228537987,0.0,0.007302747777402749
100_50,100,50,0.7460000000000001,0.0,0.6057046063242266,0.04270831300812528,0.0,0.002585998932458879
100_100,100,100,0.704,0.0,0.5966230704488371,0.01356465996625051,0.0,0.005793702042217546
