SERVICES_SDS,AVG_RELEVANT_CHANGES_OUR,AVG_APPLICATION_STABILITY_OUR,AVG_SERVICE_STABILITY_OUR,STD_RELEVANT_CHANGE_OUR,STD_APPLICATION_STABILITY_OUR,STD_SERVICE_STABILITY_OUR
10_*,0.8333333333333333,1.0,0.8235532407407408,0.2359251202530343,0.0,0.10706966095980916
25_*,0.925,1.0,0.920118980622552,0.10208045370282198,0.0,0.024878552028503136
50_*,0.9716826923076923,1.0,0.9664443732168506,0.028331997777365538,0.0,0.01524748226921507
100_*,0.8450390432994896,1.0,0.9858666899695551,0.15759325006775154,0.0,0.008223555954483527
*_10,0.7739668564125086,1.0,0.9334322105382509,0.22961123904870712,0.0,0.0392292867027859
*_25,0.8484528848926791,1.0,0.9096548954219419,0.20842440803941875,0.0,0.05509360614363347
*_50,0.960968660968661,1.0,0.9134608834567238,0.06922850804618084,0.0,0.028177023516067764
*_100,0.9916666666666667,1.0,0.9394352951327819,0.016666666666666663,0.0,0.032919334849523745
